pos,live_clean,live_dirty
226,288,3458
227,144,3458
228,144,3458
229,144,3074
230,144,3074
231,144,3074
232,144,3074
233,0,3074
234,0,3074
235,0,2690
236,0,2306
237,0,770
238,0,770
239,0,866
240,0,1250
241,0,1346
242,0,1730
243,144,1730
244,144,1730
245,288,1730
246,288,1730
247,432,1730
248,432,1730
249,576,1730
250,576,1730
251,576,1730
252,576,1730
253,432,1730
254,432,1730
255,432,1730
256,432,1730
257,432,1730
258,288,1730
259,288,1730
260,288,1346
261,288,1346
262,288,1346
263,288,1346
264,144,1346
265,144,1346
266,144,1346
267,144,1346
268,144,1346
269,0,1346
270,0,1346
271,0,962
272,0,962
273,0,986
274,0,1082
275,0,1106
276,0,1202
277,144,1202
278,144,1202
279,288,1202
280,288,1202
281,432,1202
282,432,1202
283,576,1202
284,576,1202
285,576,1202
286,576,1202
287,432,1202
288,432,1202
289,432,1202
290,432,1202
291,432,1202
292,288,1202
293,288,1202
294,288,1201
295,288,1105
296,288,1105
297,288,1105
298,288,1105
299,144,1105
300,144,1105
301,144,1009
302,144,1009
303,144,1009
304,144,1009
305,0,1009
306,0,1009
307,0,1008
308,0,912
309,0,816
310,0,816
311,0,840
312,0,936
313,0,960
314,0,1056
315,144,1056
316,144,1056
317,288,1056
318,288,1056
319,432,1056
320,432,1056
321,576,1056
322,576,1056
323,576,1056
324,576,1056
325,432,1056
326,432,1056
327,432,1056
328,432,1056
329,432,1056
330,288,1056
331,288,1056
332,288,960
333,288,960
334,288,960
335,288,960
336,144,960
337,144,960
338,144,936
339,144,936
340,144,936
341,144,936
342,0,936
343,0,936
344,0,912
345,0,816
346,0,816
347,0,822
348,0,846
349,0,852
350,0,876
351,144,876
352,144,876
353,288,876
354,288,876
355,432,876
356,432,876
357,576,876
358,576,876
359,576,876
360,576,876
361,432,876
362,432,876
363,432,876
364,432,876
365,432,876
366,288,876
367,288,876
368,288,852
369,288,852
370,288,852
371,288,852
372,144,852
373,144,852
374,144,828
375,144,828
376,144,828
377,144,828
378,0,828
379,0,828
380,0,804
381,0,780
382,0,780
383,0,781
384,0,783
385,0,784
386,0,786
387,192,786
388,192,786
389,384,786
390,384,786
391,576,786
392,576,786
393,768,786
394,768,786
395,768,786
396,768,786
397,576,786
398,576,786
399,576,786
400,576,786
401,576,786
402,384,786
403,384,786
404,384,784
405,384,784
406,384,784
407,384,784
408,192,784
409,192,784
410,192,778
411,192,778
412,192,778
413,192,778
414,0,778
415,0,778
416,0,772
417,0,770
418,0,770
419,0,772
420,0,776
421,0,778
422,0,782
423,0,784
424,0,788
425,32,788
426,32,788
427,64,788
428,64,788
429,96,788
430,96,788
431,128,788
432,128,788
433,160,788
434,160,788
435,192,788
436,192,788
437,192,788
438,192,788
439,160,788
440,160,788
441,160,788
442,160,788
443,160,788
444,128,788
445,128,788
446,128,784
447,128,784
448,128,784
449,128,782
450,128,782
451,128,782
452,96,782
453,96,782
454,96,782
455,96,782
456,96,782
457,64,782
458,64,782
459,64,778
460,64,778
461,64,778
462,64,776
463,64,776
464,64,776
465,32,776
466,32,776
467,32,776
468,32,776
469,32,776
470,0,776
471,0,776
472,0,772
473,0,772
474,0,772
475,0,770
476,0,771
477,0,773
478,0,774
479,0,776
480,0,777
481,0,779
482,0,780
483,0,782
484,16,782
485,16,782
486,32,782
487,32,782
488,48,782
489,48,782
490,64,782
491,64,782
492,80,782
493,80,782
494,96,782
495,96,782
496,112,782
497,112,782
498,128,782
499,128,782
500,128,782
501,128,782
502,112,782
503,112,782
504,112,782
505,112,782
506,112,782
507,96,782
508,96,782
509,96,780
510,96,780
511,96,780
512,96,780
513,80,780
514,80,780
515,80,780
516,80,780
517,80,780
518,64,780
519,64,780
520,64,778
521,64,778
522,64,778
523,64,778
524,48,778
525,48,778
526,48,778
527,48,778
528,48,778
529,32,778
530,32,778
531,32,776
532,32,776
533,32,776
534,32,776
535,16,776
536,16,776
537,16,776
538,16,776
539,16,776
540,0,776
541,0,776
542,0,774
543,0,774
544,0,775
545,0,777
546,0,778
547,0,780
548,0,781
549,0,783
550,0,784
551,0,786
552,16,786
553,16,786
554,32,786
555,32,786
556,48,786
557,48,786
558,64,786
559,64,786
560,80,786
561,80,786
562,96,786
563,96,786
564,112,786
565,112,786
566,128,786
567,128,786
568,128,786
569,128,786
570,112,786
571,112,786
572,112,786
573,112,786
574,112,786
575,96,786
576,96,786
577,96,784
578,96,784
579,96,784
580,96,784
581,80,784
582,80,784
583,80,784
584,80,784
585,80,784
586,64,784
587,64,784
588,64,782
589,64,782
590,64,782
591,64,782
592,48,782
593,48,782
594,48,782
595,48,782
596,48,782
597,32,782
598,32,782
599,32,780
600,32,780
601,32,780
602,32,780
603,16,780
604,16,780
605,16,780
606,16,780
607,16,780
608,0,780
609,0,780
610,0,778
611,0,778
612,0,779
613,0,781
614,0,782
615,0,784
616,0,785
617,0,787
618,0,788
619,0,790
620,16,790
621,16,790
622,32,790
623,32,790
624,48,790
625,48,790
626,64,790
627,64,790
628,80,790
629,80,790
630,96,790
631,96,790
632,112,790
633,112,790
634,128,790
635,128,790
636,128,790
637,128,790
638,112,790
639,112,790
640,112,790
641,112,790
642,112,790
643,96,790
644,96,790
645,96,788
646,96,788
647,96,788
648,96,788
649,80,788
650,80,788
651,80,788
652,80,788
653,80,788
654,64,788
655,64,788
656,64,786
657,64,786
658,64,786
659,64,786
660,48,786
661,48,786
662,48,786
663,48,786
664,48,786
665,32,786
666,32,786
667,32,784
668,32,784
669,32,784
670,32,784
671,16,784
672,16,784
673,16,783
674,16,783
675,16,783
676,16,783
677,0,783
678,0,783
679,0,782
680,0,780
681,0,780
682,0,876
683,0,1260
684,0,1356
685,0,1740
686,0,1836
687,0,2220
688,0,2316
689,0,2700
690,144,2700
691,144,2700
692,288,2700
693,288,2700
694,432,2700
695,432,2700
696,576,2700
697,576,2700
698,720,2700
699,720,2700
700,864,2700
701,864,2700
702,1008,2700
703,1008,2700
704,1152,2700
705,1152,2700
706,1152,2700
707,1152,2700
708,1008,2700
709,1008,2700
710,1008,2700
711,1008,2700
712,1008,2700
713,864,2700
714,864,2700
715,864,2316
716,864,2316
717,864,2316
718,864,2316
719,720,2316
720,720,2316
721,720,2316
722,720,2316
723,720,2316
724,576,2316
725,576,2316
726,576,1932
727,576,1932
728,576,1932
729,576,1932
730,432,1932
731,432,1932
732,432,1932
733,432,1932
734,432,1932
735,288,1932
736,288,1932
737,288,1548
738,288,1548
739,288,1548
740,288,1548
741,144,1548
742,144,1548
743,144,1548
744,144,1548
745,144,1548
746,0,1548
747,0,1548
748,0,1164
749,0,1164
750,0,1260
751,0,1644
752,0,1740
753,0,2124
754,0,2220
755,0,2604
756,0,2700
757,0,3084
758,144,3084
759,144,3084
760,288,3084
761,288,3084
762,432,3084
763,432,3084
764,576,3084
765,576,3084
766,720,3084
767,720,3084
768,864,3084
769,864,3084
770,1008,3084
771,1008,3084
772,1152,3084
773,1152,3084
774,1296,3084
775,1296,3084
776,1440,3084
777,1440,3084
778,1584,3084
779,1584,3084
780,1728,3084
781,1728,3084
782,1872,3084
783,1872,3084
784,2016,3084
785,2016,3084
786,2160,3084
787,2160,3084
788,2304,3084
789,2304,3084
790,2304,3084
791,2304,3084
792,2160,3084
793,2160,3084
794,2160,3084
795,2160,3084
796,2160,3084
797,2016,3084
798,2016,3084
799,2016,3084
800,2016,3084
801,2016,3084
802,1872,3084
803,1872,3084
804,1872,3084
805,1872,3084
806,1872,3084
807,1728,3084
808,1728,3084
809,1728,2700
810,1728,2700
811,1728,2700
812,1728,2700
813,1584,2700
814,1584,2700
815,1584,2700
816,1584,2700
817,1584,2700
818,1440,2700
819,1440,2700
820,1440,2700
821,1440,2700
822,1440,2700
823,1296,2700
824,1296,2700
825,1296,2700
826,1296,2700
827,1296,2700
828,1152,2700
829,1152,2700
830,1152,2316
831,1152,2316
832,1152,2316
833,1152,2316
834,1008,2316
835,1008,2316
836,1008,2316
837,1008,2316
838,1008,2316
839,864,2316
840,864,2316
841,864,2316
842,864,2316
843,864,2316
844,720,2316
845,720,2316
846,720,2316
847,720,2316
848,720,2316
849,576,2316
850,576,2316
851,576,1932
852,576,1932
853,576,1932
854,576,1932
855,432,1932
856,432,1932
857,432,1836
858,432,1836
859,432,1836
860,432,1836
861,288,1836
862,288,1836
863,288,1740
864,288,1740
865,288,1740
866,288,1740
867,144,1740
868,144,1740
869,144,1644
870,144,1644
871,144,1644
872,144,1644
873,0,1644
874,0,1644
875,0,1548
876,0,1164
877,0,1164
878,0,1188
879,0,1284
880,0,1308
881,0,1404
882,0,1428
883,0,1524
884,0,1548
885,0,1644
886,144,1644
887,144,1644
888,288,1644
889,288,1644
890,432,1644
891,432,1644
892,576,1644
893,576,1644
894,720,1644
895,720,1644
896,864,1644
897,864,1644
898,1008,1644
899,1008,1644
900,1152,1644
901,1152,1644
902,1296,1644
903,1296,1644
904,1440,1644
905,1440,1644
906,1584,1644
907,1584,1644
908,1728,1644
909,1728,1644
910,1872,1644
911,1872,1644
912,2016,1644
913,2016,1644
914,2160,1644
915,2160,1644
916,2304,1644
917,2304,1644
918,2304,1644
919,2304,1644
920,2160,1644
921,2160,1644
922,2160,1644
923,2160,1644
924,2160,1644
925,2016,1644
926,2016,1644
927,2016,1644
928,2016,1644
929,2016,1644
930,1872,1644
931,1872,1644
932,1872,1644
933,1872,1644
934,1872,1644
935,1728,1644
936,1728,1644
937,1728,1548
938,1728,1548
939,1728,1548
940,1728,1548
941,1584,1548
942,1584,1548
943,1584,1548
944,1584,1548
945,1584,1548
946,1440,1548
947,1440,1548
948,1440,1548
949,1440,1548
950,1440,1548
951,1296,1548
952,1296,1548
953,1296,1548
954,1296,1548
955,1296,1548
956,1152,1548
957,1152,1548
958,1152,1452
959,1152,1452
960,1152,1452
961,1152,1452
962,1008,1452
963,1008,1452
964,1008,1452
965,1008,1452
966,1008,1452
967,864,1452
968,864,1452
969,864,1452
970,864,1452
971,864,1452
972,720,1452
973,720,1452
974,720,1452
975,720,1452
976,720,1452
977,576,1452
978,576,1452
979,576,1356
980,576,1356
981,576,1356
982,576,1356
983,432,1356
984,432,1356
985,432,1356
986,432,1356
987,432,1356
988,288,1356
989,288,1356
990,288,1356
991,288,1356
992,288,1356
993,144,1356
994,144,1356
995,144,1356
996,144,1356
997,144,1356
998,0,1356
999,0,1356
1000,0,1260
1001,0,1260
1002,0,1308
1003,0,1404
1004,0,1452
1005,0,1548
1006,0,1596
1007,0,1692
1008,0,1740
1009,0,1836
1010,144,1836
1011,144,1836
1012,288,1836
1013,288,1836
1014,432,1836
1015,432,1836
1016,576,1836
1017,576,1836
1018,720,1836
1019,720,1836
1020,864,1836
1021,864,1836
1022,1008,1836
1023,1008,1836
1024,1152,1836
1025,1152,1836
1026,1296,1836
1027,1296,1836
1028,1440,1836
1029,1440,1836
1030,1584,1836
1031,1584,1836
1032,1728,1836
1033,1728,1836
1034,1872,1836
1035,1872,1836
1036,2016,1836
1037,2016,1836
1038,2160,1836
1039,2160,1836
1040,2304,1836
1041,2304,1836
1042,2304,1836
1043,2304,1836
1044,2160,1836
1045,2160,1836
1046,2160,1836
1047,2160,1836
1048,2160,1836
1049,2016,1836
1050,2016,1836
1051,2016,1836
1052,2016,1836
1053,2016,1836
1054,1872,1836
1055,1872,1836
1056,1872,1836
1057,1872,1836
1058,1872,1836
1059,1728,1836
1060,1728,1836
1061,1728,1835
1062,1728,1739
1063,1728,1739
1064,1728,1739
1065,1728,1739
1066,1584,1739
1067,1584,1739
1068,1584,1739
1069,1584,1739
1070,1584,1739
1071,1440,1739
1072,1440,1739
1073,1440,1739
1074,1440,1739
1075,1440,1739
1076,1296,1739
1077,1296,1739
1078,1296,1739
1079,1296,1739
1080,1296,1739
1081,1152,1739
1082,1152,1739
1083,1152,1738
1084,1152,1642
1085,1152,1642
1086,1152,1642
1087,1152,1642
1088,1008,1642
1089,1008,1642
1090,1008,1642
1091,1008,1642
1092,1008,1642
1093,864,1642
1094,864,1642
1095,864,1642
1096,864,1642
1097,864,1642
1098,720,1642
1099,720,1642
1100,720,1642
1101,720,1642
1102,720,1642
1103,576,1642
1104,576,1642
1105,576,1641
1106,576,1545
1107,576,1545
1108,576,1545
1109,576,1545
1110,432,1545
1111,432,1545
1112,432,1521
1113,432,1521
1114,432,1521
1115,432,1521
1116,288,1521
1117,288,1521
1118,288,1497
1119,288,1497
1120,288,1497
1121,288,1497
1122,144,1497
1123,144,1497
1124,144,1473
1125,144,1473
1126,144,1473
1127,144,1473
1128,0,1473
1129,0,1473
1130,0,1472
1131,0,1448
1132,0,1352
1133,0,1352
1134,0,1400
1135,64,1400
1136,64,1400
1137,64,1400
1138,64,1400
1139,0,1400
1140,0,1400
1141,0,1400
1142,0,1448
1143,64,1448
1144,64,1448
1145,64,1448
1146,64,1448
1147,0,1448
1148,0,1448
1149,0,1448
1150,0,1496
1151,64,1496
1152,64,1496
1153,64,1496
1154,64,1496
1155,0,1496
1156,0,1496
1157,0,1496
1158,0,1544
1159,64,1544
1160,64,1544
1161,64,1544
1162,64,1544
1163,0,1544
1164,0,1544
1165,0,1544
1166,0,1592
1167,64,1592
1168,64,1592
1169,64,1592
1170,64,1592
1171,0,1592
1172,0,1592
1173,0,1592
1174,0,1640
1175,64,1640
1176,64,1640
1177,64,1640
1178,64,1640
1179,0,1640
1180,0,1640
1181,0,1640
1182,0,1688
1183,64,1688
1184,64,1688
1185,64,1688
1186,64,1688
1187,0,1688
1188,0,1688
1189,0,1688
1190,0,1736
1191,64,1736
1192,64,1736
1193,64,1736
1194,64,1736
1195,0,1736
1196,0,1736
1197,0,1736
1198,0,1784
1199,64,1784
1200,64,1784
1201,64,1784
1202,64,1784
1203,0,1784
1204,0,1784
1205,0,1784
1206,0,1832
1207,64,1832
1208,64,1832
1209,64,1832
1210,64,1832
1211,0,1832
1212,0,1832
1213,0,1832
1214,0,1880
1215,64,1880
1216,64,1880
1217,64,1880
1218,64,1880
1219,0,1880
1220,0,1880
1221,0,1880
1222,0,1928
1223,64,1928
1224,64,1928
1225,64,1928
1226,64,1928
1227,0,1928
1228,0,1928
1229,0,1928
1230,0,1976
1231,64,1976
1232,64,1976
1233,64,1976
1234,64,1976
1235,0,1976
1236,0,1976
1237,0,1928
1238,0,1928
1239,0,1976
1240,64,1976
1241,64,1976
1242,64,1976
1243,64,1976
1244,0,1976
1245,0,1976
1246,0,1928
1247,0,1928
1248,0,1976
1249,64,1976
1250,64,1976
1251,64,1976
1252,64,1976
1253,0,1976
1254,0,1976
1255,0,1928
1256,0,1928
1257,0,1976
1258,64,1976
1259,64,1976
1260,64,1976
1261,64,1976
1262,0,1976
1263,0,1976
1264,0,1928
1265,0,1928
1266,0,2120
1267,0,2312
1268,0,2312
1269,0,2264
1270,0,2216
1271,0,2168
1272,0,2120
1273,0,1928
1274,0,2120
1275,0,2312
1276,0,2312
1277,0,2264
1278,0,2216
1279,0,2168
1280,0,2120
1281,0,1928
1282,0,2120
1283,0,2312
1284,0,2312
1285,0,2264
1286,0,2216
1287,0,2168
1288,0,2120
1289,0,1928
1290,0,2120
1291,0,2312
1292,0,2312
1293,0,2264
1294,0,2216
1295,0,2168
1296,0,2120
1297,0,1928
1298,0,2024
1299,0,2408
1300,0,2504
1301,0,2888
1302,0,2984
1303,0,3368
1304,0,3464
1305,0,3848
1306,144,3848
1307,144,3848
1308,288,3848
1309,288,3848
1310,432,3848
1311,432,3848
1312,576,3848
1313,576,3848
1314,720,3848
1315,720,3848
1316,864,3848
1317,864,3848
1318,1008,3848
1319,1008,3848
1320,1152,3848
1321,1152,3848
1322,1296,3848
1323,1296,3848
1324,1440,3848
1325,1440,3848
1326,1584,3848
1327,1584,3848
1328,1728,3848
1329,1728,3848
1330,1872,3848
1331,1872,3848
1332,2016,3848
1333,2016,3848
1334,2160,3848
1335,2160,3848
1336,2304,3848
1337,2304,3848
1338,2304,3848
1339,2304,3848
1340,2160,3848
1341,2160,3848
1342,2160,3848
1343,2160,3848
1344,2160,3848
1345,2016,3848
1346,2016,3848
1347,2016,3848
1348,2016,3848
1349,2016,3848
1350,1872,3848
1351,1872,3848
1352,1872,3848
1353,1872,3848
1354,1872,3848
1355,1728,3848
1356,1728,3848
1357,1728,3656
1358,1728,3272
1359,1728,3272
1360,1728,3272
1361,1728,3272
1362,1584,3272
1363,1584,3272
1364,1584,3272
1365,1584,3272
1366,1584,3272
1367,1440,3272
1368,1440,3272
1369,1440,3272
1370,1440,3272
1371,1440,3272
1372,1296,3272
1373,1296,3272
1374,1296,3272
1375,1296,3272
1376,1296,3272
1377,1152,3272
1378,1152,3272
1379,1152,3080
1380,1152,2696
1381,1152,2696
1382,1152,2696
1383,1152,2696
1384,1008,2696
1385,1008,2696
1386,1008,2696
1387,1008,2696
1388,1008,2696
1389,864,2696
1390,864,2696
1391,864,2696
1392,864,2696
1393,864,2696
1394,720,2696
1395,720,2696
1396,720,2696
1397,720,2696
1398,720,2696
1399,576,2696
1400,576,2696
1401,576,2504
1402,576,2120
1403,576,2120
1404,576,2120
1405,576,2120
1406,432,2120
1407,432,2120
1408,432,2024
1409,432,2024
1410,432,2024
1411,432,2024
1412,288,2024
1413,288,2024
1414,288,1928
1415,288,1928
1416,288,1928
1417,288,1928
1418,144,1928
1419,144,1928
1420,144,1832
1421,144,1832
1422,144,1832
1423,144,1832
1424,0,1832
1425,0,1832
1426,0,1736
1427,0,1544
1428,0,1160
1429,0,1160
1430,0,1352
1431,0,1736
1432,0,1928
1433,0,2312
1434,0,2504
1435,0,2888
1436,0,3080
1437,0,3464
1438,144,3464
1439,144,3464
1440,288,3464
1441,288,3464
1442,432,3464
1443,432,3464
1444,576,3464
1445,576,3464
1446,720,3464
1447,720,3464
1448,864,3464
1449,864,3464
1450,1008,3464
1451,1008,3464
1452,1152,3464
1453,1152,3464
1454,1296,3464
1455,1296,3464
1456,1440,3464
1457,1440,3464
1458,1584,3464
1459,1584,3464
1460,1728,3464
1461,1728,3464
1462,1872,3464
1463,1872,3464
1464,2016,3464
1465,2016,3464
1466,2160,3464
1467,2160,3464
1468,2304,3464
1469,2304,3464
1470,2304,3464
1471,2304,3464
1472,2160,3464
1473,2160,3464
1474,2160,3464
1475,2160,3464
1476,2160,3464
1477,2016,3464
1478,2016,3464
1479,2016,3464
1480,2016,3464
1481,2016,3464
1482,1872,3464
1483,1872,3464
1484,1872,3464
1485,1872,3464
1486,1872,3464
1487,1728,3464
1488,1728,3464
1489,1728,3463
1490,1728,3079
1491,1728,3079
1492,1728,3079
1493,1728,3079
1494,1584,3079
1495,1584,3079
1496,1584,3079
1497,1584,3079
1498,1584,3079
1499,1440,3079
1500,1440,3079
1501,1440,3079
1502,1440,3079
1503,1440,3079
1504,1296,3079
1505,1296,3079
1506,1296,3079
1507,1296,3079
1508,1296,3079
1509,1152,3079
1510,1152,3079
1511,1152,3078
1512,1152,2694
1513,1152,2694
1514,1152,2694
1515,1152,2694
1516,1008,2694
1517,1008,2694
1518,1008,2694
1519,1008,2694
1520,1008,2694
1521,864,2694
1522,864,2694
1523,864,2694
1524,864,2694
1525,864,2694
1526,720,2694
1527,720,2694
1528,720,2694
1529,720,2694
1530,720,2694
1531,576,2694
1532,576,2694
1533,576,2693
1534,576,2309
1535,576,2309
1536,576,2309
1537,576,2309
1538,432,2309
1539,432,2309
1540,432,2213
1541,432,2213
1542,432,2213
1543,432,2213
1544,288,2213
1545,288,2213
1546,288,2117
1547,288,2117
1548,288,2117
1549,288,2117
1550,144,2117
1551,144,2117
1552,144,2021
1553,144,2021
1554,144,2021
1555,144,2021
1556,0,2021
1557,0,2021
1558,0,2020
1559,0,1924
1560,0,1540
1561,0,1540
1562,0,1732
1563,64,1732
1564,64,1732
1565,64,1732
1566,64,1732
1567,0,1732
1568,0,1732
1569,0,1732
1570,0,1924
1571,64,1924
1572,64,1924
1573,64,1924
1574,64,1924
1575,0,1924
1576,0,1924
1577,0,1924
1578,0,2116
1579,64,2116
1580,64,2116
1581,64,2116
1582,64,2116
1583,0,2116
1584,0,2116
1585,0,2116
1586,0,2308
1587,64,2308
1588,64,2308
1589,64,2308
1590,64,2308
1591,0,2308
1592,0,2308
1593,0,2308
1594,0,2500
1595,64,2500
1596,64,2500
1597,64,2500
1598,64,2500
1599,0,2500
1600,0,2500
1601,0,2500
1602,0,2692
1603,64,2692
1604,64,2692
1605,64,2692
1606,64,2692
1607,0,2692
1608,0,2692
1609,0,2692
1610,0,2884
1611,64,2884
1612,64,2884
1613,64,2884
1614,64,2884
1615,0,2884
1616,0,2884
1617,0,2884
1618,0,3076
1619,64,3076
1620,64,3076
1621,64,3076
1622,64,3076
1623,0,3076
1624,0,3076
1625,0,3076
1626,0,3268
1627,64,3268
1628,64,3268
1629,64,3268
1630,64,3268
1631,0,3268
1632,0,3268
1633,0,3268
1634,0,3460
1635,64,3460
1636,64,3460
1637,64,3460
1638,64,3460
1639,0,3460
1640,0,3460
1641,0,3460
1642,0,3652
1643,64,3652
1644,64,3652
1645,64,3652
1646,64,3652
1647,0,3652
1648,0,3652
1649,0,3652
1650,0,3844
1651,64,3844
1652,64,3844
1653,64,3844
1654,64,3844
1655,0,3844
1656,0,3844
1657,0,3844
1658,0,4036
1659,64,4036
1660,64,4036
1661,64,4036
1662,64,4036
1663,0,4036
1664,0,4036
1665,0,3844
1666,0,3844
1667,0,4036
1668,64,4036
1669,64,4036
1670,64,4036
1671,64,4036
1672,0,4036
1673,0,4036
1674,0,3844
1675,0,3844
1676,0,4036
1677,64,4036
1678,64,4036
1679,64,4036
1680,64,4036
1681,0,4036
1682,0,4036
1683,0,3844
1684,0,3844
1685,0,4036
1686,64,4036
1687,64,4036
1688,64,4036
1689,64,4036
1690,0,4036
1691,0,4036
1692,0,3844
1693,0,3844
1694,0,4612
1695,0,5380
1696,0,5380
1697,0,5188
1698,0,4996
1699,0,4804
1700,0,4612
1701,0,3844
1702,0,4612
1703,0,5380
1704,0,5380
1705,0,5188
1706,0,4996
1707,0,4804
1708,0,4612
1709,0,3844
1710,0,4612
1711,0,5380
1712,0,5380
1713,0,5188
1714,0,4996
1715,0,4804
1716,0,4612
1717,0,3844
1718,0,4612
1719,0,5380
1720,0,5380
1721,0,5188
1722,0,4996
1723,0,4804
1724,0,4612
1725,0,3844
1726,0,4228
1727,0,5764
1728,0,6148
1729,0,7684
1730,0,8068
1731,0,9604
1732,0,9988
1733,0,11524
1734,144,11524
1735,144,11524
1736,288,11524
1737,288,11524
1738,432,11524
1739,432,11524
1740,576,11524
1741,576,11524
1742,720,11524
1743,720,11524
1744,864,11524
1745,864,11524
1746,1008,11524
1747,1008,11524
1748,1152,11524
1749,1152,11524
1750,1152,11524
1751,1152,11524
1752,1008,11524
1753,1008,11524
1754,1008,11524
1755,1008,11524
1756,1008,11524
1757,864,11524
1758,864,11524
1759,864,10756
1760,864,9220
1761,864,9220
1762,864,9220
1763,864,9220
1764,720,9220
1765,720,9220
1766,720,9220
1767,720,9220
1768,720,9220
1769,576,9220
1770,576,9220
1771,576,8452
1772,576,6916
1773,576,6916
1774,576,6916
1775,576,6916
1776,432,6916
1777,432,6916
1778,432,6916
1779,432,6916
1780,432,6916
1781,288,6916
1782,288,6916
1783,288,6148
1784,288,4612
1785,288,4612
1786,288,4612
1787,288,4612
1788,144,4612
1789,144,4612
1790,144,4228
1791,144,4228
1792,144,4228
1793,144,4228
1794,0,4228
1795,0,4228
1796,0,3844
1797,0,3076
1798,0,1540
1799,0,1540
1800,0,1924
1801,0,3460
1802,0,3844
1803,0,5380
1804,0,5764
1805,0,7300
1806,0,7684
1807,0,9220
1808,144,9220
1809,144,9220
1810,288,9220
1811,288,9220
1812,432,9220
1813,432,9220
1814,576,9220
1815,576,9220
1816,720,9220
1817,720,9220
1818,864,9220
1819,864,9220
1820,1008,9220
1821,1008,9220
1822,1152,9220
1823,1152,9220
1824,1296,9220
1825,1296,9220
1826,1440,9220
1827,1440,9220
1828,1584,9220
1829,1584,9220
1830,1728,9220
1831,1728,9220
1832,1872,9220
1833,1872,9220
1834,2016,9220
1835,2016,9220
1836,2160,9220
1837,2160,9220
1838,2304,9220
1839,2304,9220
1840,2304,9220
1841,2304,9220
1842,2160,9220
1843,2160,9220
1844,2160,9220
1845,2160,9220
1846,2160,9220
1847,2016,9220
1848,2016,9220
1849,2016,9220
1850,2016,9220
1851,2016,9220
1852,1872,9220
1853,1872,9220
1854,1872,9220
1855,1872,9220
1856,1872,9220
1857,1728,9220
1858,1728,9220
1859,1728,7684
1860,1728,7684
1861,1728,7684
1862,1728,7684
1863,1584,7684
1864,1584,7684
1865,1584,7684
1866,1584,7684
1867,1584,7684
1868,1440,7684
1869,1440,7684
1870,1440,7684
1871,1440,7684
1872,1440,7684
