pos,live_clean,live_dirty,live_total
169,288,770,1058
170,288,770,1058
171,432,770,1202
172,432,770,1202
173,576,770,1346
174,576,770,1346
175,576,770,1346
176,576,770,1346
177,432,770,1202
178,432,2306,2738
179,432,2306,2738
180,432,2306,2738
181,432,2306,2738
182,432,2306,2738
183,288,2306,2594
184,288,2690,2978
185,288,2690,2978
186,288,2690,2978
187,288,1154,1442
188,288,1154,1442
189,288,1154,1442
190,144,1154,1298
191,144,2690,2834
192,144,2690,2834
193,144,2690,2834
194,144,2690,2834
195,144,2690,2834
196,0,2690,2690
197,0,3074,3074
198,0,3074,3074
199,0,3074,3074
200,0,1538,1538
201,144,1538,1682
202,144,1538,1682
203,288,1538,1826
204,288,1538,1826
205,432,1538,1970
206,432,1538,1970
207,576,1538,2114
208,576,1538,2114
209,576,1538,2114
210,576,1538,2114
211,432,1538,1970
212,432,3074,3506
213,432,3074,3506
214,432,3074,3506
215,432,3074,3506
216,432,3074,3506
217,288,3074,3362
218,288,3458,3746
219,288,3458,3746
220,288,3458,3746
221,288,1922,2210
222,288,1538,1826
223,288,1538,1826
224,288,1538,1826
225,144,1538,1682
226,144,3074,3218
227,144,3074,3218
228,144,3074,3218
229,144,2690,2834
230,144,2690,2834
231,144,2690,2834
232,0,2690,2690
233,0,3074,3074
234,0,3074,3074
235,0,3074,3074
236,0,1538,1538
237,0,1154,1154
238,0,770,770
239,144,770,914
240,144,770,914
241,288,770,1058
242,288,770,1058
243,432,770,1202
244,432,770,1202
245,576,770,1346
246,576,770,1346
247,576,770,1346
248,576,770,1346
249,432,770,1202
250,432,1154,1586
251,432,1154,1586
252,432,1154,1586
253,432,1154,1586
254,432,1154,1586
255,288,1154,1442
256,288,1250,1538
257,288,1250,1538
258,288,1250,1538
259,288,866,1154
260,288,866,1154
261,288,866,1154
262,144,866,1010
263,144,1250,1394
264,144,1250,1394
265,144,1250,1394
266,144,1250,1394
267,144,1250,1394
268,0,1250,1250
269,0,1346,1346
270,0,1346,1346
271,0,1346,1346
272,0,962,962
273,144,962,1106
274,144,962,1106
275,288,962,1250
276,288,962,1250
277,432,962,1394
278,432,962,1394
279,576,962,1538
280,576,962,1538
281,576,962,1538
282,576,962,1538
283,432,962,1394
284,432,1058,1490
285,432,1058,1490
286,432,1058,1490
287,432,1058,1490
288,432,1058,1490
289,288,1058,1346
290,288,1082,1370
291,288,1082,1370
292,288,1082,1370
293,288,986,1274
294,288,985,1273
295,288,985,1273
296,288,985,1273
297,144,985,1129
298,144,1081,1225
299,144,1081,1225
300,144,1081,1225
301,144,985,1129
302,144,985,1129
303,144,985,1129
304,0,985,985
305,0,1009,1009
306,0,1009,1009
307,0,1009,1009
308,0,913,913
309,0,817,817
310,0,816,816
311,144,816,960
312,144,816,960
313,288,816,1104
314,288,816,1104
315,432,816,1248
316,432,816,1248
317,576,816,1392
318,576,816,1392
319,576,816,1392
320,576,816,1392
321,432,816,1248
322,432,912,1344
323,432,912,1344
324,432,912,1344
325,432,912,1344
326,432,912,1344
327,288,912,1200
328,288,936,1224
329,288,936,1224
330,288,936,1224
331,288,840,1128
332,288,840,1128
333,288,840,1128
334,144,840,984
335,144,936,1080
336,144,936,1080
337,144,936,1080
338,144,912,1056
339,144,912,1056
340,144,912,1056
341,0,912,912
342,0,936,936
343,0,936,936
344,0,936,936
345,0,840,840
346,0,816,816
347,144,816,960
348,144,816,960
349,288,816,1104
350,288,816,1104
351,432,816,1248
352,432,816,1248
353,576,816,1392
354,576,816,1392
355,576,816,1392
356,576,816,1392
357,432,816,1248
358,432,840,1272
359,432,840,1272
360,432,840,1272
361,432,840,1272
362,432,840,1272
363,288,840,1128
364,288,846,1134
365,288,846,1134
366,288,846,1134
367,288,822,1110
368,288,822,1110
369,288,822,1110
370,144,822,966
371,144,846,990
372,144,846,990
373,144,846,990
374,144,822,966
375,144,822,966
376,144,822,966
377,0,822,822
378,0,828,828
379,0,828,828
380,0,828,828
381,0,804,804
382,0,780,780
383,192,780,972
384,192,780,972
385,384,780,1164
386,384,780,1164
387,576,780,1356
388,576,780,1356
389,768,780,1548
390,768,780,1548
391,768,780,1548
392,768,780,1548
393,576,780,1356
394,576,782,1358
395,576,782,1358
396,576,782,1358
397,576,782,1358
398,576,782,1358
399,384,782,1166
400,384,783,1167
401,384,783,1167
402,384,783,1167
403,384,781,1165
404,384,781,1165
405,384,781,1165
406,192,781,973
407,192,783,975
408,192,783,975
409,192,783,975
410,192,777,969
411,192,777,969
412,192,777,969
413,0,777,777
414,0,778,778
415,0,778,778
416,0,778,778
417,0,772,772
418,0,770,770
419,32,770,802
420,32,770,802
421,64,770,834
422,64,770,834
423,96,770,866
424,96,770,866
425,128,770,898
426,128,770,898
427,160,770,930
428,160,770,930
429,192,770,962
430,192,770,962
431,192,770,962
432,192,770,962
433,160,770,930
434,160,774,934
435,160,774,934
436,160,774,934
437,160,774,934
438,160,774,934
439,128,774,902
440,128,776,904
441,128,776,904
442,128,776,904
443,128,772,900
444,128,772,900
445,128,772,900
446,96,772,868
447,96,776,872
448,96,776,872
449,96,776,872
450,96,776,872
451,96,776,872
452,64,776,840
453,64,778,842
454,64,778,842
455,64,778,842
456,64,774,838
457,64,774,838
458,64,774,838
459,32,774,806
460,32,778,810
461,32,778,810
462,32,778,810
463,32,778,810
464,32,778,810
465,0,778,778
466,0,780,780
467,0,780,780
468,0,780,780
469,0,776,776
470,0,776,776
471,0,774,774
472,0,774,774
473,0,772,772
474,0,772,772
475,0,770,770
476,16,770,786
477,16,770,786
478,32,770,802
479,32,770,802
480,48,770,818
481,48,770,818
482,64,770,834
483,64,770,834
484,80,770,850
485,80,770,850
486,96,770,866
487,96,770,866
488,112,770,882
489,112,770,882
490,128,770,898
491,128,770,898
492,128,770,898
493,128,770,898
494,112,770,882
495,112,772,884
496,112,772,884
497,112,772,884
498,112,772,884
499,112,772,884
500,96,772,868
501,96,773,869
502,96,773,869
503,96,773,869
504,96,771,867
505,96,771,867
506,96,771,867
507,80,771,851
508,80,773,853
509,80,773,853
510,80,773,853
511,80,773,853
512,80,773,853
513,64,773,837
514,64,774,838
515,64,774,838
516,64,774,838
517,64,772,836
518,64,772,836
519,64,772,836
520,48,772,820
521,48,774,822
522,48,774,822
523,48,774,822
524,48,774,822
525,48,774,822
526,32,774,806
527,32,775,807
528,32,775,807
529,32,775,807
530,32,773,805
531,32,773,805
532,32,773,805
533,16,773,789
534,16,775,791
535,16,775,791
536,16,775,791
537,16,775,791
538,16,775,791
539,0,775,775
540,0,776,776
541,0,776,776
542,0,776,776
543,0,774,774
544,16,774,790
545,16,774,790
546,32,774,806
547,32,774,806
548,48,774,822
549,48,774,822
550,64,774,838
551,64,774,838
552,80,774,854
553,80,774,854
554,96,774,870
555,96,774,870
556,112,774,886
557,112,774,886
558,128,774,902
559,128,774,902
560,128,774,902
561,128,774,902
562,112,774,886
563,112,776,888
564,112,776,888
565,112,776,888
566,112,776,888
567,112,776,888
568,96,776,872
569,96,777,873
570,96,777,873
571,96,777,873
572,96,775,871
573,96,775,871
574,96,775,871
575,80,775,855
576,80,777,857
577,80,777,857
578,80,777,857
579,80,777,857
580,80,777,857
581,64,777,841
582,64,778,842
583,64,778,842
584,64,778,842
585,64,776,840
586,64,776,840
587,64,776,840
588,48,776,824
589,48,778,826
590,48,778,826
591,48,778,826
592,48,778,826
593,48,778,826
594,32,778,810
595,32,779,811
596,32,779,811
597,32,779,811
598,32,777,809
599,32,777,809
600,32,777,809
601,16,777,793
602,16,779,795
603,16,779,795
604,16,779,795
605,16,779,795
606,16,779,795
607,0,779,779
608,0,780,780
609,0,780,780
610,0,780,780
611,0,778,778
612,16,778,794
613,16,778,794
614,32,778,810
615,32,778,810
616,48,778,826
617,48,778,826
618,64,778,842
619,64,778,842
620,80,778,858
621,80,778,858
622,96,778,874
623,96,778,874
624,112,778,890
625,112,778,890
626,128,778,906
627,128,778,906
628,128,778,906
629,128,778,906
630,112,778,890
631,112,780,892
632,112,780,892
633,112,780,892
634,112,780,892
635,112,780,892
636,96,780,876
637,96,781,877
638,96,781,877
639,96,781,877
640,96,779,875
641,96,779,875
642,96,779,875
643,80,779,859
644,80,781,861
645,80,781,861
646,80,781,861
647,80,781,861
648,80,781,861
649,64,781,845
650,64,782,846
651,64,782,846
652,64,782,846
653,64,780,844
654,64,780,844
655,64,780,844
656,48,780,828
657,48,782,830
658,48,782,830
659,48,782,830
660,48,782,830
661,48,782,830
662,32,782,814
663,32,783,815
664,32,783,815
665,32,783,815
666,32,781,813
667,32,781,813
668,32,781,813
669,16,781,797
670,16,783,799
671,16,783,799
672,16,783,799
673,16,782,798
674,16,782,798
675,16,782,798
676,0,782,782
677,0,783,783
678,0,783,783
679,0,783,783
680,0,781,781
681,0,780,780
682,144,780,924
683,144,780,924
684,288,780,1068
685,288,780,1068
686,432,780,1212
687,432,780,1212
688,576,780,1356
689,576,780,1356
690,720,780,1500
691,720,780,1500
692,864,780,1644
693,864,780,1644
694,1008,780,1788
695,1008,780,1788
696,1152,780,1932
697,1152,780,1932
698,1152,780,1932
699,1152,780,1932
700,1008,780,1788
701,1008,1164,2172
702,1008,1164,2172
703,1008,1164,2172
704,1008,1164,2172
705,1008,1164,2172
706,864,1164,2028
707,864,1260,2124
708,864,1260,2124
709,864,1260,2124
710,864,876,1740
711,864,876,1740
712,864,876,1740
713,720,876,1596
714,720,1260,1980
715,720,1260,1980
716,720,1260,1980
717,720,1260,1980
718,720,1260,1980
719,576,1260,1836
720,576,1356,1932
721,576,1356,1932
722,576,1356,1932
723,576,972,1548
724,576,972,1548
725,576,972,1548
726,432,972,1404
727,432,1356,1788
728,432,1356,1788
729,432,1356,1788
730,432,1356,1788
731,432,1356,1788
732,288,1356,1644
733,288,1452,1740
734,288,1452,1740
735,288,1452,1740
736,288,1068,1356
737,288,1068,1356
738,288,1068,1356
739,144,1068,1212
740,144,1452,1596
741,144,1452,1596
742,144,1452,1596
743,144,1452,1596
744,144,1452,1596
745,0,1452,1452
746,0,1548,1548
747,0,1548,1548
748,0,1548,1548
749,0,1164,1164
750,144,1164,1308
751,144,1164,1308
752,288,1164,1452
753,288,1164,1452
754,432,1164,1596
755,432,1164,1596
756,576,1164,1740
757,576,1164,1740
758,720,1164,1884
759,720,1164,1884
760,864,1164,2028
761,864,1164,2028
762,1008,1164,2172
763,1008,1164,2172
764,1152,1164,2316
765,1152,1164,2316
766,1296,1164,2460
767,1296,1164,2460
768,1440,1164,2604
769,1440,1164,2604
770,1584,1164,2748
771,1584,1164,2748
772,1728,1164,2892
773,1728,1164,2892
774,1872,1164,3036
775,1872,1164,3036
776,2016,1164,3180
777,2016,1164,3180
778,2160,1164,3324
779,2160,1164,3324
780,2304,1164,3468
781,2304,1164,3468
782,2304,1164,3468
783,2304,1164,3468
784,2160,1164,3324
785,2160,1548,3708
786,2160,1548,3708
787,2160,1548,3708
788,2160,1548,3708
789,2160,1548,3708
790,2016,1548,3564
791,2016,1548,3564
792,2016,1548,3564
793,2016,1548,3564
794,2016,1548,3564
795,1872,1548,3420
796,1872,1548,3420
797,1872,1548,3420
798,1872,1548,3420
799,1872,1548,3420
800,1728,1548,3276
801,1728,1644,3372
802,1728,1644,3372
803,1728,1644,3372
804,1728,1260,2988
805,1728,1260,2988
806,1728,1260,2988
807,1584,1260,2844
808,1584,1644,3228
809,1584,1644,3228
810,1584,1644,3228
811,1584,1644,3228
812,1584,1644,3228
813,1440,1644,3084
814,1440,1644,3084
815,1440,1644,3084
816,1440,1644,3084
817,1440,1644,3084
818,1296,1644,2940
819,1296,1644,2940
820,1296,1644,2940
821,1296,1644,2940
822,1296,1644,2940
823,1152,1644,2796
824,1152,1740,2892
825,1152,1740,2892
826,1152,1740,2892
827,1152,1356,2508
828,1152,1356,2508
829,1152,1356,2508
830,1008,1356,2364
831,1008,1740,2748
832,1008,1740,2748
833,1008,1740,2748
834,1008,1740,2748
835,1008,1740,2748
836,864,1740,2604
837,864,1740,2604
838,864,1740,2604
839,864,1740,2604
840,864,1740,2604
841,720,1740,2460
842,720,1740,2460
843,720,1740,2460
844,720,1740,2460
845,720,1740,2460
846,576,1740,2316
847,576,1836,2412
848,576,1836,2412
849,576,1836,2412
850,576,1452,2028
851,576,1452,2028
852,576,1452,2028
853,432,1452,1884
854,432,1836,2268
855,432,1836,2268
856,432,1836,2268
857,432,1740,2172
858,432,1740,2172
859,432,1740,2172
860,288,1740,2028
861,288,1740,2028
862,288,1740,2028
863,288,1644,1932
864,288,1644,1932
865,288,1644,1932
866,144,1644,1788
867,144,1644,1788
868,144,1644,1788
869,144,1548,1692
870,144,1548,1692
871,144,1548,1692
872,0,1548,1548
873,0,1644,1644
874,0,1644,1644
875,0,1644,1644
876,0,1260,1260
877,0,1164,1164
878,144,1164,1308
879,144,1164,1308
880,288,1164,1452
881,288,1164,1452
882,432,1164,1596
883,432,1164,1596
884,576,1164,1740
885,576,1164,1740
886,720,1164,1884
887,720,1164,1884
888,864,1164,2028
889,864,1164,2028
890,1008,1164,2172
891,1008,1164,2172
892,1152,1164,2316
893,1152,1164,2316
894,1296,1164,2460
895,1296,1164,2460
896,1440,1164,2604
897,1440,1164,2604
898,1584,1164,2748
899,1584,1164,2748
900,1728,1164,2892
901,1728,1164,2892
902,1872,1164,3036
903,1872,1164,3036
904,2016,1164,3180
905,2016,1164,3180
906,2160,1164,3324
907,2160,1164,3324
908,2304,1164,3468
909,2304,1164,3468
910,2304,1164,3468
911,2304,1164,3468
912,2160,1164,3324
913,2160,1260,3420
914,2160,1260,3420
915,2160,1260,3420
916,2160,1260,3420
917,2160,1260,3420
918,2016,1260,3276
919,2016,1260,3276
920,2016,1260,3276
921,2016,1260,3276
922,2016,1260,3276
923,1872,1260,3132
924,1872,1260,3132
925,1872,1260,3132
926,1872,1260,3132
927,1872,1260,3132
928,1728,1260,2988
929,1728,1284,3012
930,1728,1284,3012
931,1728,1284,3012
932,1728,1188,2916
933,1728,1188,2916
934,1728,1188,2916
935,1584,1188,2772
936,1584,1284,2868
937,1584,1284,2868
938,1584,1284,2868
939,1584,1284,2868
940,1584,1284,2868
941,1440,1284,2724
942,1440,1284,2724
943,1440,1284,2724
944,1440,1284,2724
945,1440,1284,2724
946,1296,1284,2580
947,1296,1284,2580
948,1296,1284,2580
949,1296,1284,2580
950,1296,1284,2580
951,1152,1284,2436
952,1152,1308,2460
953,1152,1308,2460
954,1152,1308,2460
955,1152,1212,2364
956,1152,1212,2364
957,1152,1212,2364
958,1008,1212,2220
959,1008,1308,2316
960,1008,1308,2316
961,1008,1308,2316
962,1008,1308,2316
963,1008,1308,2316
964,864,1308,2172
965,864,1308,2172
966,864,1308,2172
967,864,1308,2172
968,864,1308,2172
969,720,1308,2028
970,720,1308,2028
971,720,1308,2028
972,720,1308,2028
973,720,1308,2028
974,576,1308,1884
975,576,1332,1908
976,576,1332,1908
977,576,1332,1908
978,576,1236,1812
979,576,1236,1812
980,576,1236,1812
981,432,1236,1668
982,432,1332,1764
983,432,1332,1764
984,432,1332,1764
985,432,1332,1764
986,432,1332,1764
987,288,1332,1620
988,288,1332,1620
989,288,1332,1620
990,288,1332,1620
991,288,1332,1620
992,144,1332,1476
993,144,1332,1476
994,144,1332,1476
995,144,1332,1476
996,144,1332,1476
997,0,1332,1332
998,0,1356,1356
999,0,1356,1356
1000,0,1356,1356
1001,0,1260,1260
1002,144,1260,1404
1003,144,1260,1404
1004,288,1260,1548
1005,288,1260,1548
1006,432,1260,1692
1007,432,1260,1692
1008,576,1260,1836
1009,576,1260,1836
1010,720,1260,1980
1011,720,1260,1980
1012,864,1260,2124
1013,864,1260,2124
1014,1008,1260,2268
1015,1008,1260,2268
1016,1152,1260,2412
1017,1152,1260,2412
1018,1296,1260,2556
1019,1296,1260,2556
1020,1440,1260,2700
1021,1440,1260,2700
1022,1584,1260,2844
1023,1584,1260,2844
1024,1728,1260,2988
1025,1728,1260,2988
1026,1872,1260,3132
1027,1872,1260,3132
1028,2016,1260,3276
1029,2016,1260,3276
1030,2160,1260,3420
1031,2160,1260,3420
1032,2304,1260,3564
1033,2304,1260,3564
1034,2304,1260,3564
1035,2304,1260,3564
1036,2160,1260,3420
1037,2160,1356,3516
1038,2160,1356,3516
1039,2160,1356,3516
1040,2160,1356,3516
1041,2160,1356,3516
1042,2016,1356,3372
1043,2016,1356,3372
1044,2016,1356,3372
1045,2016,1356,3372
1046,2016,1356,3372
1047,1872,1356,3228
1048,1872,1356,3228
1049,1872,1356,3228
1050,1872,1356,3228
1051,1872,1356,3228
1052,1728,1356,3084
1053,1728,1404,3132
1054,1728,1404,3132
1055,1728,1404,3132
1056,1728,1308,3036
1057,1728,1307,3035
1058,1728,1307,3035
1059,1728,1307,3035
1060,1584,1307,2891
1061,1584,1403,2987
1062,1584,1403,2987
1063,1584,1403,2987
1064,1584,1403,2987
1065,1584,1403,2987
1066,1440,1403,2843
1067,1440,1403,2843
1068,1440,1403,2843
1069,1440,1403,2843
1070,1440,1403,2843
1071,1296,1403,2699
1072,1296,1403,2699
1073,1296,1403,2699
1074,1296,1403,2699
1075,1296,1403,2699
1076,1152,1403,2555
1077,1152,1451,2603
1078,1152,1451,2603
1079,1152,1451,2603
1080,1152,1355,2507
1081,1152,1354,2506
1082,1152,1354,2506
1083,1152,1354,2506
1084,1008,1354,2362
1085,1008,1450,2458
1086,1008,1450,2458
1087,1008,1450,2458
1088,1008,1450,2458
1089,1008,1450,2458
1090,864,1450,2314
1091,864,1450,2314
1092,864,1450,2314
1093,864,1450,2314
1094,864,1450,2314
1095,720,1450,2170
1096,720,1450,2170
1097,720,1450,2170
1098,720,1450,2170
1099,720,1450,2170
1100,576,1450,2026
1101,576,1498,2074
1102,576,1498,2074
1103,576,1498,2074
1104,576,1402,1978
1105,576,1401,1977
1106,576,1401,1977
1107,576,1401,1977
1108,432,1401,1833
1109,432,1497,1929
1110,432,1497,1929
1111,432,1497,1929
1112,432,1473,1905
1113,432,1473,1905
1114,432,1473,1905
1115,288,1473,1761
1116,288,1473,1761
1117,288,1473,1761
1118,288,1449,1737
1119,288,1449,1737
1120,288,1449,1737
1121,144,1449,1593
1122,144,1449,1593
1123,144,1449,1593
1124,144,1425,1569
1125,144,1425,1569
1126,144,1425,1569
1127,0,1425,1425
1128,0,1473,1473
1129,0,1473,1473
1130,0,1473,1473
1131,0,1377,1377
1132,0,1353,1353
1133,0,1352,1352
1134,64,1352,1416
1135,64,1352,1416
1136,64,1352,1416
1137,64,1352,1416
1138,0,1352,1352
1139,0,1400,1400
1140,0,1400,1400
1141,0,1400,1400
1142,64,1400,1464
1143,64,1400,1464
1144,64,1400,1464
1145,64,1400,1464
1146,0,1400,1400
1147,0,1448,1448
1148,0,1448,1448
1149,0,1448,1448
1150,64,1448,1512
1151,64,1448,1512
1152,64,1448,1512
1153,64,1448,1512
1154,0,1448,1448
1155,0,1496,1496
1156,0,1496,1496
1157,0,1496,1496
1158,64,1496,1560
1159,64,1496,1560
1160,64,1496,1560
1161,64,1496,1560
1162,0,1496,1496
1163,0,1544,1544
1164,0,1544,1544
1165,0,1544,1544
1166,64,1544,1608
1167,64,1544,1608
1168,64,1544,1608
1169,64,1544,1608
1170,0,1544,1544
1171,0,1592,1592
1172,0,1592,1592
1173,0,1592,1592
1174,64,1592,1656
1175,64,1592,1656
1176,64,1592,1656
1177,64,1592,1656
1178,0,1592,1592
1179,0,1640,1640
1180,0,1640,1640
1181,0,1640,1640
1182,64,1640,1704
1183,64,1640,1704
1184,64,1640,1704
1185,64,1640,1704
1186,0,1640,1640
1187,0,1688,1688
1188,0,1688,1688
1189,0,1688,1688
1190,64,1688,1752
1191,64,1688,1752
1192,64,1688,1752
1193,64,1688,1752
1194,0,1688,1688
1195,0,1736,1736
1196,0,1736,1736
1197,0,1736,1736
1198,64,1736,1800
1199,64,1736,1800
1200,64,1736,1800
1201,64,1736,1800
1202,0,1736,1736
1203,0,1784,1784
1204,0,1784,1784
1205,0,1784,1784
1206,64,1784,1848
1207,64,1784,1848
1208,64,1784,1848
1209,64,1784,1848
1210,0,1784,1784
1211,0,1832,1832
1212,0,1832,1832
1213,0,1832,1832
1214,64,1832,1896
1215,64,1832,1896
1216,64,1832,1896
1217,64,1832,1896
1218,0,1832,1832
1219,0,1880,1880
1220,0,1880,1880
1221,0,1880,1880
1222,64,1880,1944
1223,64,1880,1944
1224,64,1880,1944
1225,64,1880,1944
1226,0,1880,1880
1227,0,1928,1928
1228,0,1928,1928
1229,0,1928,1928
1230,64,1928,1992
1231,64,1928,1992
1232,64,1928,1992
1233,64,1928,1992
1234,0,1928,1928
1235,0,1976,1976
1236,0,1976,1976
1237,0,1976,1976
1238,0,1928,1928
1239,64,1928,1992
1240,64,1928,1992
1241,64,1928,1992
1242,64,1928,1992
1243,0,1928,1928
1244,0,1976,1976
1245,0,1976,1976
1246,0,1976,1976
1247,0,1928,1928
1248,64,1928,1992
1249,64,1928,1992
1250,64,1928,1992
1251,64,1928,1992
1252,0,1928,1928
1253,0,1976,1976
1254,0,1976,1976
1255,0,1976,1976
1256,0,1928,1928
1257,64,1928,1992
1258,64,1928,1992
1259,64,1928,1992
1260,64,1928,1992
1261,0,1928,1928
1262,0,1976,1976
1263,0,1976,1976
1264,0,1976,1976
1265,0,1928,1928
1266,0,2120,2120
1267,0,2312,2312
1268,0,2312,2312
1269,0,2120,2120
1270,0,2072,2072
1271,0,2024,2024
1272,0,1976,1976
1273,0,1928,1928
1274,0,2120,2120
1275,0,2312,2312
1276,0,2312,2312
1277,0,2120,2120
1278,0,2072,2072
1279,0,2024,2024
1280,0,1976,1976
1281,0,1928,1928
1282,0,2120,2120
1283,0,2312,2312
1284,0,2312,2312
1285,0,2120,2120
1286,0,2072,2072
1287,0,2024,2024
1288,0,1976,1976
1289,0,1928,1928
1290,0,2120,2120
1291,0,2312,2312
1292,0,2312,2312
1293,0,2120,2120
1294,0,2072,2072
1295,0,2024,2024
1296,0,1976,1976
1297,0,1928,1928
1298,144,1928,2072
1299,144,1928,2072
1300,288,1928,2216
1301,288,1928,2216
1302,432,1928,2360
1303,432,1928,2360
1304,576,1928,2504
1305,576,1928,2504
1306,720,1928,2648
1307,720,1928,2648
1308,864,1928,2792
1309,864,1928,2792
1310,1008,1928,2936
1311,1008,1928,2936
1312,1152,1928,3080
1313,1152,1928,3080
1314,1296,1928,3224
1315,1296,1928,3224
1316,1440,1928,3368
1317,1440,1928,3368
1318,1584,1928,3512
1319,1584,1928,3512
1320,1728,1928,3656
1321,1728,1928,3656
1322,1872,1928,3800
1323,1872,1928,3800
1324,2016,1928,3944
1325,2016,1928,3944
1326,2160,1928,4088
1327,2160,1928,4088
1328,2304,1928,4232
1329,2304,1928,4232
1330,2304,1928,4232
1331,2304,1928,4232
1332,2160,1928,4088
1333,2160,2312,4472
1334,2160,2312,4472
1335,2160,2312,4472
1336,2160,2312,4472
1337,2160,2312,4472
1338,2016,2312,4328
1339,2016,2312,4328
1340,2016,2312,4328
1341,2016,2312,4328
1342,2016,2312,4328
1343,1872,2312,4184
1344,1872,2312,4184
1345,1872,2312,4184
1346,1872,2312,4184
1347,1872,2312,4184
1348,1728,2312,4040
1349,1728,2408,4136
1350,1728,2408,4136
1351,1728,2408,4136
1352,1728,2024,3752
1353,1728,1832,3560
1354,1728,1832,3560
1355,1728,1832,3560
1356,1584,1832,3416
1357,1584,2216,3800
1358,1584,2216,3800
1359,1584,2216,3800
1360,1584,2216,3800
1361,1584,2216,3800
1362,1440,2216,3656
1363,1440,2216,3656
1364,1440,2216,3656
1365,1440,2216,3656
1366,1440,2216,3656
1367,1296,2216,3512
1368,1296,2216,3512
1369,1296,2216,3512
1370,1296,2216,3512
1371,1296,2216,3512
1372,1152,2216,3368
1373,1152,2312,3464
1374,1152,2312,3464
1375,1152,2312,3464
1376,1152,1928,3080
1377,1152,1736,2888
1378,1152,1736,2888
1379,1152,1736,2888
1380,1008,1736,2744
1381,1008,2120,3128
1382,1008,2120,3128
1383,1008,2120,3128
1384,1008,2120,3128
1385,1008,2120,3128
1386,864,2120,2984
1387,864,2120,2984
1388,864,2120,2984
1389,864,2120,2984
1390,864,2120,2984
1391,720,2120,2840
1392,720,2120,2840
1393,720,2120,2840
1394,720,2120,2840
1395,720,2120,2840
1396,576,2120,2696
1397,576,2216,2792
1398,576,2216,2792
1399,576,2216,2792
1400,576,1832,2408
1401,576,1640,2216
1402,576,1640,2216
1403,576,1640,2216
1404,432,1640,2072
1405,432,2024,2456
1406,432,2024,2456
1407,432,2024,2456
1408,432,1928,2360
1409,432,1928,2360
1410,432,1928,2360
1411,288,1928,2216
1412,288,1928,2216
1413,288,1928,2216
1414,288,1832,2120
1415,288,1832,2120
1416,288,1832,2120
