pos,L1,UB
251,2306,0
252,2306,0
253,2162,0
254,2162,0
255,2162,0
256,2162,0
257,2162,0
258,2018,0
259,2018,0
260,1634,0
261,1634,0
262,1634,0
263,1634,0
264,1490,0
265,1490,0
266,1490,0
267,1490,0
268,1490,0
269,1346,0
270,1346,0
271,962,0
272,962,0
273,986,0
274,1082,0
275,1106,0
276,1202,0
277,1346,0
278,1346,0
279,1490,0
280,1490,0
281,1634,0
282,1634,0
283,1778,0
284,1778,0
285,1778,0
286,1778,0
287,1634,0
288,1634,0
289,1634,0
290,1634,0
291,1634,0
292,1490,0
293,1490,0
294,1489,0
295,1393,0
296,1393,0
297,1393,0
298,1393,0
299,1249,0
300,1249,0
301,1153,0
302,1153,0
303,1153,0
304,1153,0
305,1009,0
306,1009,0
307,1008,0
308,912,0
309,816,0
310,816,0
311,840,0
312,936,0
313,960,0
314,1056,0
315,1200,0
316,1200,0
317,1344,0
318,1344,0
319,1488,0
320,1488,0
321,1632,0
322,1632,0
323,1632,0
324,1632,0
325,1488,0
326,1488,0
327,1488,0
328,1488,0
329,1488,0
330,1344,0
331,1344,0
332,1248,0
333,1248,0
334,1248,0
335,1248,0
336,1104,0
337,1104,0
338,1080,0
339,1080,0
340,1080,0
341,1080,0
342,936,0
343,936,0
344,912,0
345,816,0
346,816,0
347,822,0
348,846,0
349,852,0
350,876,0
351,1020,0
352,1020,0
353,1164,0
354,1164,0
355,1308,0
356,1308,0
357,1452,0
358,1452,0
359,1452,0
360,1452,0
361,1308,0
362,1308,0
363,1308,0
364,1308,0
365,1308,0
366,1164,0
367,1164,0
368,1140,0
369,1140,0
370,1140,0
371,1140,0
372,996,0
373,996,0
374,972,0
375,972,0
376,972,0
377,972,0
378,828,0
379,828,0
380,804,0
381,780,0
382,780,0
383,781,0
384,783,0
385,784,0
386,786,0
387,978,0
388,978,0
389,1170,0
390,1170,0
391,1362,0
392,1362,0
393,1554,0
394,1554,0
395,1554,0
396,1554,0
397,1362,0
398,1362,0
399,1362,0
400,1362,0
401,1362,0
402,1170,0
403,1170,0
404,1168,0
405,1168,0
406,1168,0
407,1168,0
408,976,0
409,976,0
410,970,0
411,970,0
412,970,0
413,970,0
414,778,0
415,778,0
416,772,0
417,770,0
418,770,0
419,772,0
420,776,0
421,778,0
422,782,0
423,784,0
424,788,0
425,820,0
426,820,0
427,852,0
428,852,0
429,884,0
430,884,0
431,916,0
432,916,0
433,948,0
434,948,0
435,980,0
436,980,0
437,980,0
438,980,0
439,948,0
440,948,0
441,948,0
442,948,0
443,948,0
444,916,0
445,916,0
446,912,0
447,912,0
448,912,0
449,910,0
450,910,0
451,910,0
452,878,0
453,878,0
454,878,0
455,878,0
456,878,0
457,846,0
458,846,0
459,842,0
460,842,0
461,842,0
462,840,0
463,840,0
464,840,0
465,808,0
466,808,0
467,808,0
468,808,0
469,808,0
470,776,0
471,776,0
472,772,0
473,772,0
474,772,0
475,770,0
476,771,0
477,773,0
478,774,0
479,776,0
480,777,0
481,779,0
482,780,0
483,782,0
484,798,0
485,798,0
486,814,0
487,814,0
488,830,0
489,830,0
490,846,0
491,846,0
492,862,0
493,862,0
494,878,0
495,878,0
496,894,0
497,894,0
498,910,0
499,910,0
500,910,0
501,910,0
502,894,0
503,894,0
504,894,0
505,894,0
506,894,0
507,878,0
508,878,0
509,876,0
510,876,0
511,876,0
512,876,0
513,860,0
514,860,0
515,860,0
516,860,0
517,860,0
518,844,0
519,844,0
520,842,0
521,842,0
522,842,0
523,842,0
524,826,0
525,826,0
526,826,0
527,826,0
528,826,0
529,810,0
530,810,0
531,808,0
532,808,0
533,808,0
534,808,0
535,792,0
536,792,0
537,792,0
538,792,0
539,792,0
540,776,0
541,776,0
542,774,0
543,774,0
544,775,0
545,777,0
546,778,0
547,780,0
548,781,0
549,783,0
550,784,0
551,786,0
552,802,0
553,802,0
554,818,0
555,818,0
556,834,0
557,834,0
558,850,0
559,850,0
560,866,0
561,866,0
562,882,0
563,882,0
564,898,0
565,898,0
566,914,0
567,914,0
568,914,0
569,914,0
570,898,0
571,898,0
572,898,0
573,898,0
574,898,0
575,882,0
576,882,0
577,880,0
578,880,0
579,880,0
580,880,0
581,864,0
582,864,0
583,864,0
584,864,0
585,864,0
586,848,0
587,848,0
588,846,0
589,846,0
590,846,0
591,846,0
592,830,0
593,830,0
594,830,0
595,830,0
596,830,0
597,814,0
598,814,0
599,812,0
600,812,0
601,812,0
602,812,0
603,796,0
604,796,0
605,796,0
606,796,0
607,796,0
608,780,0
609,780,0
610,778,0
611,778,0
612,779,0
613,781,0
614,782,0
615,784,0
616,785,0
617,787,0
618,788,0
619,790,0
620,806,0
621,806,0
622,822,0
623,822,0
624,838,0
625,838,0
626,854,0
627,854,0
628,870,0
629,870,0
630,886,0
631,886,0
632,902,0
633,902,0
634,918,0
635,918,0
636,918,0
637,918,0
638,902,0
639,902,0
640,902,0
641,902,0
642,902,0
643,886,0
644,886,0
645,884,0
646,884,0
647,884,0
648,884,0
649,868,0
650,868,0
651,868,0
652,868,0
653,868,0
654,852,0
655,852,0
656,850,0
657,850,0
658,850,0
659,850,0
660,834,0
661,834,0
662,834,0
663,834,0
664,834,0
665,818,0
666,818,0
667,816,0
668,816,0
669,816,0
670,816,0
671,800,0
672,800,0
673,799,0
674,799,0
675,799,0
676,799,0
677,783,0
678,783,0
679,782,0
680,780,0
681,780,0
682,876,0
683,1260,0
684,1356,0
685,1740,0
686,1836,0
687,2220,0
688,2316,0
689,2700,0
690,2844,0
691,2844,0
692,2988,0
693,2988,0
694,3132,0
695,3132,0
696,3276,0
697,3276,0
698,3420,0
699,3420,0
700,3564,0
701,3564,0
702,3708,0
703,3708,0
704,3852,0
705,3852,0
706,3852,0
707,3852,0
708,3708,0
709,3708,0
710,3708,0
711,3708,0
712,3708,0
713,3564,0
714,3564,0
715,3180,0
716,3180,0
717,3180,0
718,3180,0
719,3036,0
720,3036,0
721,3036,0
722,3036,0
723,3036,0
724,2892,0
725,2892,0
726,2508,0
727,2508,0
728,2508,0
729,2508,0
730,2364,0
731,2364,0
732,2364,0
733,2364,0
734,2364,0
735,2220,0
736,2220,0
737,1836,0
738,1836,0
739,1836,0
740,1836,0
741,1692,0
742,1692,0
743,1692,0
744,1692,0
745,1692,0
746,1548,0
747,1548,0
748,1164,0
749,1164,0
750,1260,0
751,1644,0
752,1740,0
753,2124,0
754,2220,0
755,2604,0
756,2700,0
757,3084,0
758,3228,0
759,3228,0
760,3372,0
761,3372,0
762,3516,0
763,3516,0
764,3660,0
765,3660,0
766,3804,0
767,3804,0
768,3948,0
769,3948,0
770,4092,0
771,4092,0
772,4236,0
773,4236,0
774,4380,0
775,4380,0
776,4524,0
777,4524,0
778,4668,0
779,4668,0
780,4812,0
781,4812,0
782,4956,0
783,4956,0
784,5100,0
785,5100,0
786,5244,0
787,5244,0
788,5388,0
789,5388,0
790,5388,0
791,5388,0
792,5244,0
793,5244,0
794,5244,0
795,5244,0
796,5244,0
797,5100,0
798,5100,0
799,5100,0
800,5100,0
801,5100,0
802,4956,0
803,4956,0
804,4956,0
805,4956,0
806,4956,0
807,4812,0
808,4812,0
809,4428,0
810,4428,0
811,4428,0
812,4428,0
813,4284,0
814,4284,0
815,4284,0
816,4284,0
817,4284,0
818,4140,0
819,4140,0
820,4140,0
821,4140,0
822,4140,0
823,3996,0
824,3996,0
825,3996,0
826,3996,0
827,3996,0
828,3852,0
829,3852,0
830,3468,0
831,3468,0
832,3468,0
833,3468,0
834,3324,0
835,3324,0
836,3324,0
837,3324,0
838,3324,0
839,3180,0
840,3180,0
841,3180,0
842,3180,0
843,3180,0
844,3036,0
845,3036,0
846,3036,0
847,3036,0
848,3036,0
849,2892,0
850,2892,0
851,2508,0
852,2508,0
853,2508,0
854,2508,0
855,2364,0
856,2364,0
857,2268,0
858,2268,0
859,2268,0
860,2268,0
861,2124,0
862,2124,0
863,2028,0
864,2028,0
865,2028,0
866,2028,0
867,1884,0
868,1884,0
869,1788,0
870,1788,0
871,1788,0
872,1788,0
873,1644,0
874,1644,0
875,1548,0
876,1164,0
877,1164,0
878,1188,0
879,1284,0
880,1308,0
881,1404,0
882,1428,0
883,1524,0
884,1548,0
885,1644,0
886,1788,0
887,1788,0
888,1932,0
889,1932,0
890,2076,0
891,2076,0
892,2220,0
893,2220,0
894,2364,0
895,2364,0
896,2508,0
897,2508,0
898,2652,0
899,2652,0
900,2796,0
901,2796,0
902,2940,0
903,2940,0
904,3084,0
905,3084,0
906,3228,0
907,3228,0
908,3372,0
909,3372,0
910,3516,0
911,3516,0
912,3660,0
913,3660,0
914,3804,0
915,3804,0
916,3948,0
917,3948,0
918,3948,0
919,3948,0
920,3804,0
921,3804,0
922,3804,0
923,3804,0
924,3804,0
925,3660,0
926,3660,0
927,3660,0
928,3660,0
929,3660,0
930,3516,0
931,3516,0
932,3516,0
933,3516,0
934,3516,0
935,3372,0
936,3372,0
937,3276,0
938,3276,0
939,3276,0
940,3276,0
941,3132,0
942,3132,0
943,3132,0
944,3132,0
945,3132,0
946,2988,0
947,2988,0
948,2988,0
949,2988,0
950,2988,0
951,2844,0
952,2844,0
953,2844,0
954,2844,0
955,2844,0
956,2700,0
957,2700,0
958,2604,0
959,2604,0
960,2604,0
961,2604,0
962,2460,0
963,2460,0
964,2460,0
965,2460,0
966,2460,0
967,2316,0
968,2316,0
969,2316,0
970,2316,0
971,2316,0
972,2172,0
973,2172,0
974,2172,0
975,2172,0
976,2172,0
977,2028,0
978,2028,0
979,1932,0
980,1932,0
981,1932,0
982,1932,0
983,1788,0
984,1788,0
985,1788,0
986,1788,0
987,1788,0
988,1644,0
989,1644,0
990,1644,0
991,1644,0
992,1644,0
993,1500,0
994,1500,0
995,1500,0
996,1500,0
997,1500,0
998,1356,0
999,1356,0
1000,1260,0
1001,1260,0
1002,1308,0
1003,1404,0
1004,1452,0
1005,1548,0
1006,1596,0
1007,1692,0
1008,1740,0
1009,1836,0
1010,1980,0
1011,1980,0
1012,2124,0
1013,2124,0
1014,2268,0
1015,2268,0
1016,2412,0
1017,2412,0
1018,2556,0
1019,2556,0
1020,2700,0
1021,2700,0
1022,2844,0
1023,2844,0
1024,2988,0
1025,2988,0
1026,3132,0
1027,3132,0
1028,3276,0
1029,3276,0
1030,3420,0
1031,3420,0
1032,3564,0
1033,3564,0
1034,3708,0
1035,3708,0
1036,3852,0
1037,3852,0
1038,3996,0
1039,3996,0
1040,4140,0
1041,4140,0
1042,4140,0
1043,4140,0
1044,3996,0
1045,3996,0
1046,3996,0
1047,3996,0
1048,3996,0
1049,3852,0
1050,3852,0
1051,3852,0
1052,3852,0
1053,3852,0
1054,3708,0
1055,3708,0
1056,3708,0
1057,3708,0
1058,3708,0
1059,3564,0
1060,3564,0
1061,3563,0
1062,3467,0
1063,3467,0
1064,3467,0
1065,3467,0
1066,3323,0
1067,3323,0
1068,3323,0
1069,3323,0
1070,3323,0
1071,3179,0
1072,3179,0
1073,3179,0
1074,3179,0
1075,3179,0
1076,3035,0
1077,3035,0
1078,3035,0
1079,3035,0
1080,3035,0
1081,2891,0
1082,2891,0
1083,2890,0
1084,2794,0
1085,2794,0
1086,2794,0
1087,2794,0
1088,2650,0
1089,2650,0
1090,2650,0
1091,2650,0
1092,2650,0
1093,2506,0
1094,2506,0
1095,2506,0
1096,2506,0
1097,2506,0
1098,2362,0
1099,2362,0
1100,2362,0
1101,2362,0
1102,2362,0
1103,2218,0
1104,2218,0
1105,2217,0
1106,2121,0
1107,2121,0
1108,2121,0
1109,2121,0
1110,1977,0
1111,1977,0
1112,1953,0
1113,1953,0
1114,1953,0
1115,1953,0
1116,1809,0
1117,1809,0
1118,1785,0
1119,1785,0
1120,1785,0
1121,1785,0
1122,1641,0
1123,1641,0
1124,1617,0
1125,1617,0
1126,1617,0
1127,1617,0
1128,1473,0
1129,1473,0
1130,1472,0
1131,1448,0
1132,1352,0
1133,1352,0
1134,1400,0
1135,1464,0
1136,1464,0
1137,1464,0
1138,1464,0
1139,1400,0
1140,1400,0
1141,1400,0
1142,1448,0
1143,1512,0
1144,1512,0
1145,1512,0
1146,1512,0
1147,1448,0
1148,1448,0
1149,1448,0
1150,1496,0
1151,1560,0
1152,1560,0
1153,1560,0
1154,1560,0
1155,1496,0
1156,1496,0
1157,1496,0
1158,1544,0
1159,1608,0
1160,1608,0
1161,1608,0
1162,1608,0
1163,1544,0
1164,1544,0
1165,1544,0
1166,1592,0
1167,1656,0
1168,1656,0
1169,1656,0
1170,1656,0
1171,1592,0
1172,1592,0
1173,1592,0
1174,1640,0
1175,1704,0
1176,1704,0
1177,1704,0
1178,1704,0
1179,1640,0
1180,1640,0
1181,1640,0
1182,1688,0
1183,1752,0
1184,1752,0
1185,1752,0
1186,1752,0
1187,1688,0
1188,1688,0
1189,1688,0
1190,1736,0
1191,1800,0
1192,1800,0
1193,1800,0
1194,1800,0
1195,1736,0
1196,1736,0
1197,1736,0
1198,1784,0
1199,1848,0
1200,1848,0
1201,1848,0
1202,1848,0
1203,1784,0
1204,1784,0
1205,1784,0
1206,1832,0
1207,1896,0
1208,1896,0
1209,1896,0
1210,1896,0
1211,1832,0
1212,1832,0
1213,1832,0
1214,1880,0
1215,1944,0
1216,1944,0
1217,1944,0
1218,1944,0
1219,1880,0
1220,1880,0
1221,1880,0
1222,1928,0
1223,1992,0
1224,1992,0
1225,1992,0
1226,1992,0
1227,1928,0
1228,1928,0
1229,1928,0
1230,1976,0
1231,2040,0
1232,2040,0
1233,2040,0
1234,2040,0
1235,1976,0
1236,1976,0
1237,1928,0
1238,1928,0
1239,1976,0
1240,2040,0
1241,2040,0
1242,2040,0
1243,2040,0
1244,1976,0
1245,1976,0
1246,1928,0
1247,1928,0
1248,1976,0
1249,2040,0
1250,2040,0
1251,2040,0
1252,2040,0
1253,1976,0
1254,1976,0
1255,1928,0
1256,1928,0
1257,1976,0
1258,2040,0
1259,2040,0
1260,2040,0
1261,2040,0
1262,1976,0
1263,1976,0
1264,1928,0
1265,1928,0
1266,2120,0
1267,2312,0
1268,2312,0
1269,2264,0
1270,2216,0
1271,2168,0
1272,2120,0
1273,1928,0
1274,2120,0
1275,2312,0
1276,2312,0
1277,2264,0
1278,2216,0
1279,2168,0
1280,2120,0
1281,1928,0
1282,2120,0
1283,2312,0
1284,2312,0
1285,2264,0
1286,2216,0
1287,2168,0
1288,2120,0
1289,1928,0
1290,2120,0
1291,2312,0
1292,2312,0
1293,2264,0
1294,2216,0
1295,2168,0
1296,2120,0
1297,1928,0
1298,2024,0
1299,2408,0
1300,2504,0
1301,2888,0
1302,2984,0
1303,3368,0
1304,3464,0
1305,3848,0
1306,3992,0
1307,3992,0
1308,4136,0
1309,4136,0
1310,4280,0
1311,4280,0
1312,4424,0
1313,4424,0
1314,4568,0
1315,4568,0
1316,4712,0
1317,4712,0
1318,4856,0
1319,4856,0
1320,5000,0
1321,5000,0
1322,5144,0
1323,5144,0
1324,5288,0
1325,5288,0
1326,5432,0
1327,5432,0
1328,5576,0
1329,5576,0
1330,5720,0
1331,5720,0
1332,5864,0
1333,5864,0
1334,6008,0
1335,6008,0
1336,6152,0
1337,6152,0
1338,6152,0
1339,6152,0
1340,6008,0
1341,6008,0
1342,6008,0
1343,6008,0
1344,6008,0
1345,5864,0
1346,5864,0
1347,5864,0
1348,5864,0
1349,5864,0
1350,5720,0
1351,5720,0
1352,5720,0
1353,5720,0
1354,5720,0
1355,5576,0
1356,5576,0
1357,5384,0
1358,5000,0
1359,5000,0
1360,5000,0
1361,5000,0
1362,4856,0
1363,4856,0
1364,4856,0
1365,4856,0
1366,4856,0
1367,4712,0
1368,4712,0
1369,4712,0
1370,4712,0
1371,4712,0
1372,4568,0
1373,4568,0
1374,4568,0
1375,4568,0
1376,4568,0
1377,4424,0
1378,4424,0
1379,4232,0
1380,3848,0
1381,3848,0
1382,3848,0
1383,3848,0
1384,3704,0
1385,3704,0
1386,3704,0
1387,3704,0
1388,3704,0
1389,3560,0
1390,3560,0
1391,3560,0
1392,3560,0
1393,3560,0
1394,3416,0
1395,3416,0
1396,3416,0
1397,3416,0
1398,3416,0
1399,3272,0
1400,3272,0
1401,3080,0
1402,2696,0
1403,2696,0
1404,2696,0
1405,2696,0
1406,2552,0
1407,2552,0
1408,2456,0
1409,2456,0
1410,2456,0
1411,2456,0
1412,2312,0
1413,2312,0
1414,2216,0
1415,2216,0
1416,2216,0
1417,2216,0
1418,2072,0
1419,2072,0
1420,1976,0
1421,1976,0
1422,1976,0
1423,1976,0
1424,1832,0
1425,1832,0
1426,1736,0
1427,1544,0
1428,1160,0
1429,1160,0
1430,1352,0
1431,1736,0
1432,1928,0
1433,2312,0
1434,2504,0
1435,2888,0
1436,3080,0
1437,3464,0
1438,3608,0
1439,3608,0
1440,3752,0
1441,3752,0
1442,3896,0
1443,3896,0
1444,4040,0
1445,4040,0
1446,4184,0
1447,4184,0
1448,4328,0
1449,4328,0
1450,4472,0
1451,4472,0
1452,4616,0
1453,4616,0
1454,4760,0
1455,4760,0
1456,4904,0
1457,4904,0
1458,5048,0
1459,5048,0
1460,5192,0
1461,5192,0
1462,5336,0
1463,5336,0
1464,5480,0
1465,5480,0
1466,5624,0
1467,5624,0
1468,5768,0
1469,5768,0
1470,5768,0
1471,5768,0
1472,5624,0
1473,5624,0
1474,5624,0
1475,5624,0
1476,5624,0
1477,5480,0
1478,5480,0
1479,5480,0
1480,5480,0
1481,5480,0
1482,5336,0
1483,5336,0
1484,5336,0
1485,5336,0
1486,5336,0
1487,5192,0
1488,5192,0
1489,5191,0
1490,4807,0
1491,4807,0
1492,4807,0
1493,4807,0
1494,4663,0
1495,4663,0
1496,4663,0
1497,4663,0
1498,4663,0
1499,4519,0
1500,4519,0
1501,4519,0
1502,4519,0
1503,4519,0
1504,4375,0
1505,4375,0
1506,4375,0
1507,4375,0
1508,4375,0
1509,4231,0
1510,4231,0
1511,4230,0
1512,3846,0
1513,3846,0
1514,3846,0
1515,3846,0
1516,3702,0
1517,3702,0
1518,3702,0
1519,3702,0
1520,3702,0
1521,3558,0
1522,3558,0
1523,3558,0
1524,3558,0
1525,3558,0
1526,3414,0
1527,3414,0
1528,3414,0
1529,3414,0
1530,3414,0
1531,3270,0
1532,3270,0
1533,3269,0
1534,2885,0
1535,2885,0
1536,2885,0
1537,2885,0
1538,2741,0
1539,2741,0
1540,2645,0
1541,2645,0
1542,2645,0
1543,2645,0
1544,2501,0
1545,2501,0
1546,2405,0
1547,2405,0
1548,2405,0
1549,2405,0
1550,2261,0
1551,2261,0
1552,2165,0
1553,2165,0
1554,2165,0
1555,2165,0
1556,2021,0
1557,2021,0
1558,2020,0
1559,1924,0
1560,1540,0
1561,1540,0
1562,1732,0
1563,1796,0
1564,1796,0
1565,1796,0
1566,1796,0
1567,1732,0
1568,1732,0
1569,1732,0
1570,1924,0
1571,1988,0
1572,1988,0
1573,1988,0
1574,1988,0
1575,1924,0
1576,1924,0
1577,1924,0
1578,2116,0
1579,2180,0
1580,2180,0
1581,2180,0
1582,2180,0
1583,2116,0
1584,2116,0
1585,2116,0
1586,2308,0
1587,2372,0
1588,2372,0
1589,2372,0
1590,2372,0
1591,2308,0
1592,2308,0
1593,2308,0
1594,2500,0
1595,2564,0
1596,2564,0
1597,2564,0
1598,2564,0
1599,2500,0
1600,2500,0
1601,2500,0
1602,2692,0
1603,2756,0
1604,2756,0
1605,2756,0
1606,2756,0
1607,2692,0
1608,2692,0
1609,2692,0
1610,2884,0
1611,2948,0
1612,2948,0
1613,2948,0
1614,2948,0
1615,2884,0
1616,2884,0
1617,2884,0
1618,3076,0
1619,3140,0
1620,3140,0
1621,3140,0
1622,3140,0
1623,3076,0
1624,3076,0
1625,3076,0
1626,3268,0
1627,3332,0
1628,3332,0
1629,3332,0
1630,3332,0
1631,3268,0
1632,3268,0
1633,3268,0
1634,3460,0
1635,3524,0
1636,3524,0
1637,3524,0
1638,3524,0
1639,3460,0
1640,3460,0
1641,3460,0
1642,3652,0
1643,3716,0
1644,3716,0
1645,3716,0
1646,3716,0
1647,3652,0
1648,3652,0
1649,3652,0
1650,3844,0
1651,3908,0
1652,3908,0
1653,3908,0
1654,3908,0
1655,3844,0
1656,3844,0
1657,3844,0
1658,4036,0
1659,4100,0
1660,4100,0
1661,4100,0
1662,4100,0
1663,4036,0
1664,4036,0
1665,3844,0
1666,3844,0
1667,4036,0
1668,4100,0
1669,4100,0
1670,4100,0
1671,4100,0
1672,4036,0
1673,4036,0
1674,3844,0
1675,3844,0
1676,4036,0
1677,4100,0
1678,4100,0
1679,4100,0
1680,4100,0
1681,4036,0
1682,4036,0
1683,3844,0
1684,3844,0
1685,4036,0
1686,4100,0
1687,4100,0
1688,4100,0
1689,4100,0
1690,4036,0
1691,4036,0
1692,3844,0
1693,3844,0
1694,4612,0
1695,5380,0
1696,5380,0
1697,5188,0
1698,4996,0
1699,4804,0
1700,4612,0
1701,3844,0
1702,4612,0
1703,5380,0
1704,5380,0
1705,5188,0
1706,4996,0
1707,4804,0
1708,4612,0
1709,3844,0
1710,4612,0
1711,5380,0
1712,5380,0
1713,5188,0
1714,4996,0
1715,4804,0
1716,4612,0
1717,3844,0
1718,4612,0
1719,5380,0
1720,5380,0
1721,5188,0
1722,4996,0
1723,4804,0
1724,4612,0
1725,3844,0
1726,4228,0
1727,5764,0
1728,6148,0
1729,7684,0
1730,8068,0
1731,9604,0
1732,9988,0
1733,11524,0
1734,11668,0
1735,11668,0
1736,11812,0
1737,11812,0
1738,11956,0
1739,11956,0
1740,12100,0
1741,12100,0
1742,12244,0
1743,12244,0
1744,12388,0
1745,12388,0
1746,12532,0
1747,12532,0
1748,12676,0
1749,12676,0
1750,12676,0
1751,12676,0
1752,12532,0
1753,12532,0
1754,12532,0
1755,12532,0
1756,12532,0
1757,12388,0
1758,12388,0
1759,11620,0
1760,10084,0
1761,10084,0
1762,10084,0
1763,10084,0
1764,9940,0
1765,9940,0
1766,9940,0
1767,9940,0
1768,9940,0
1769,9796,0
1770,9796,0
1771,9028,0
1772,7492,0
1773,7492,0
1774,7492,0
1775,7492,0
1776,7348,0
1777,7348,0
1778,7348,0
1779,7348,0
1780,7348,0
1781,7204,0
1782,7204,0
1783,6436,0
1784,4900,0
1785,4900,0
1786,4900,0
1787,4900,0
1788,4756,0
1789,4756,0
1790,4372,0
1791,4372,0
1792,4372,0
1793,4372,0
1794,4228,0
1795,4228,0
1796,3844,0
1797,3076,0
1798,1540,0
1799,1540,0
1800,1924,0
1801,3460,0
1802,3844,0
1803,5380,0
1804,5764,0
1805,7300,0
1806,7684,0
1807,9220,0
1808,9364,0
1809,9364,0
1810,9508,0
1811,9508,0
1812,9652,0
1813,9652,0
1814,9796,0
1815,9796,0
1816,9940,0
1817,9940,0
1818,10084,0
1819,10084,0
1820,10228,0
1821,10228,0
1822,10372,0
1823,10372,0
1824,10516,0
1825,10516,0
1826,10660,0
1827,10660,0
1828,10804,0
1829,10804,0
1830,10948,0
1831,10948,0
1832,11092,0
1833,11092,0
1834,11236,0
1835,11236,0
1836,11380,0
1837,11380,0
1838,11524,0
1839,11524,0
1840,11524,0
1841,11524,0
1842,11380,0
1843,11380,0
1844,11380,0
1845,11380,0
1846,11380,0
1847,11236,0
1848,11236,0
1849,11236,0
1850,11236,0
1851,11236,0
1852,11092,0
1853,11092,0
1854,11092,0
1855,11092,0
1856,11092,0
1857,10948,0
1858,10948,0
1859,9412,0
1860,9412,0
1861,9412,0
1862,9412,0
1863,9268,0
1864,9268,0
1865,9268,0
1866,9268,0
1867,9268,0
1868,9124,0
1869,9124,0
1870,9124,0
1871,9124,0
1872,9124,0
1873,8980,0
1874,8980,0
1875,8980,0
1876,8980,0
1877,8980,0
1878,8836,0
1879,8836,0
1880,7300,0
1881,7300,0
1882,7300,0
1883,7300,0
1884,7156,0
1885,7156,0
1886,7156,0
1887,7156,0
1888,7156,0
1889,7012,0
1890,7012,0
1891,7012,0
1892,7012,0
1893,7012,0
1894,6868,0
1895,6868,0
1896,6868,0
1897,6868,0
1898,6868,0
1899,6724,0
1900,6724,0
1901,5188,0
1902,5188,0
1903,5188,0
1904,5188,0
1905,5044,0
1906,5044,0
1907,4660,0
1908,4660,0
1909,4660,0
1910,4660,0
1911,4516,0
1912,4516,0
1913,4132,0
1914,4132,0
1915,4132,0
1916,4132,0
1917,3988,0
1918,3988,0
1919,3604,0
1920,3604,0
1921,3604,0
1922,3604,0
